,Episode No,Score,Steps,Rolling Score
0,1,-10,10,-10.0
1,2,-10,9,-10.0
2,3,-10,13,-10.0
3,4,-10,12,-10.0
4,5,-10,11,-10.0
5,6,-10,10,-10.0
6,7,-10,29,-10.0
7,8,-10,12,-10.0
8,9,-10,4,-10.0
9,10,-10,7,-10.0
10,11,-10,14,-10.0
11,12,-10,8,-10.0
12,13,-10,21,-10.0
13,14,-10,16,-10.0
14,15,-10,20,-10.0
15,16,-10,27,-10.0
16,17,-10,14,-10.0
17,18,-10,10,-10.0
18,19,-10,4,-10.0
19,20,-10,37,-10.0
20,21,-10,6,-10.0
21,22,-10,22,-10.0
22,23,-10,5,-10.0
23,24,-10,37,-10.0
24,25,-10,9,-10.0
25,26,-10,6,-10.0
26,27,-10,15,-10.0
27,28,-10,15,-10.0
28,29,-10,45,-10.0
29,30,-10,25,-10.0
30,31,-10,13,-10.0
31,32,-10,5,-10.0
32,33,-10,4,-10.0
33,34,-10,4,-10.0
34,35,-10,3,-10.0
35,36,-10,11,-10.0
36,37,-10,7,-10.0
37,38,-10,7,-10.0
38,39,-10,3,-10.0
39,40,-10,6,-10.0
40,41,-10,10,-10.0
41,42,-10,7,-10.0
42,43,-10,14,-10.0
43,44,-10,13,-10.0
44,45,-10,6,-10.0
45,46,-10,6,-10.0
46,47,-10,4,-10.0
47,48,-10,13,-10.0
48,49,-10,10,-10.0
49,50,-10,8,-10.0
50,51,-10,22,-10.0
51,52,-10,22,-10.0
52,53,-10,71,-10.0
53,54,20,238,-4.0
54,55,-10,138,-4.0
55,56,50,982,8.0
56,57,0,193,10.0
57,58,-10,84,10.0
58,59,40,705,14.0
59,60,80,1883,32.0
60,61,60,664,34.0
61,62,60,302,46.0
62,63,40,291,56.0
63,64,170,1500,82.0
64,65,100,972,86.0
65,66,10,137,76.0
66,67,140,1596,92.0
67,68,20,264,88.0
68,69,20,275,58.0
69,70,20,365,42.0
70,71,70,846,54.0
71,72,10,52,28.0
72,73,0,195,24.0
73,74,50,414,30.0
74,75,20,277,30.0
75,76,90,574,34.0
76,77,120,922,56.0
77,78,20,392,60.0
78,79,30,296,56.0
79,80,50,288,62.0
80,81,80,296,60.0
81,82,20,659,40.0
82,83,60,725,48.0
83,84,50,1019,52.0
84,85,0,231,42.0
85,86,60,282,38.0
86,87,70,834,48.0
87,88,60,474,48.0
88,89,20,501,42.0
89,90,70,1503,56.0
90,91,80,760,60.0
91,92,100,1287,66.0
92,93,-10,24,52.0
93,94,50,2105,58.0
94,95,10,29,46.0
95,96,20,1066,34.0
96,97,30,2807,20.0
97,98,190,1102,60.0
98,99,10,389,52.0
99,100,0,135,50.0
100,101,160,945,78.0
101,102,160,772,104.0
102,103,30,288,72.0
103,104,100,809,90.0
104,105,110,841,112.0
105,106,30,185,86.0
106,107,240,981,102.0
107,108,200,1039,136.0
108,109,50,614,126.0
109,110,60,448,116.0
110,111,280,823,166.0
111,112,230,2499,164.0
112,113,60,308,136.0
113,114,10,634,128.0
114,115,110,710,138.0
115,116,10,113,84.0
116,117,140,816,66.0
117,118,340,1433,122.0
118,119,190,553,158.0
119,120,190,800,174.0
120,121,220,978,216.0
121,122,90,344,206.0
122,123,10,52,140.0
123,124,0,65,102.0
124,125,30,628,70.0
125,126,40,781,34.0
126,127,270,781,70.0
127,128,320,1114,132.0
128,129,160,658,164.0
129,130,60,353,170.0
130,131,120,472,186.0
131,132,310,871,194.0
132,133,160,476,162.0
133,134,270,773,184.0
134,135,140,790,200.0
135,136,430,1256,262.0
136,137,80,258,216.0
137,138,50,139,194.0
138,139,220,517,184.0
139,140,270,610,210.0
140,141,330,1354,190.0
141,142,70,141,188.0
142,143,150,472,208.0
143,144,240,622,212.0
144,145,170,543,192.0
145,146,190,482,164.0
146,147,360,1020,222.0
147,148,400,1543,272.0
148,149,280,739,280.0
149,150,340,978,314.0
150,151,110,495,298.0
151,152,290,976,284.0
152,153,30,422,210.0
153,154,70,337,168.0
154,155,170,550,134.0
155,156,220,609,156.0
156,157,160,458,130.0
157,158,90,307,142.0
158,159,50,150,138.0
159,160,110,307,126.0
160,161,250,1567,132.0
161,162,70,623,114.0
162,163,300,846,156.0
163,164,280,816,202.0
164,165,200,656,220.0
165,166,270,839,224.0
166,167,60,155,222.0
167,168,130,293,188.0
168,169,580,1888,248.0
169,170,80,305,224.0
170,171,150,399,200.0
171,172,220,703,232.0
172,173,380,1132,282.0
173,174,350,857,236.0
174,175,140,382,248.0
175,176,240,666,266.0
176,177,230,568,268.0
177,178,190,486,230.0
178,179,90,270,178.0
179,180,260,1118,202.0
180,181,60,137,166.0
181,182,150,342,150.0
182,183,140,396,140.0
183,184,280,698,178.0
184,185,60,150,138.0
185,186,220,506,170.0
186,187,60,230,152.0
187,188,300,809,184.0
188,189,100,290,148.0
189,190,110,259,158.0
190,191,350,788,184.0
191,192,280,642,228.0
192,193,170,410,202.0
193,194,90,211,200.0
194,195,230,521,224.0
195,196,290,741,212.0
196,197,120,444,180.0
197,198,120,318,170.0
198,199,50,513,162.0
199,200,280,664,172.0
